2020-12-22 00:17:09.485 DEBUG 92647 --- [http-nio-8080-exec-9] org.hibernate.SQL                        : select film0_.id as id1_0_, film0_.description as descript2_0_, film0_.length as length3_0_, film0_.release_year as release_4_0_, film0_.title as title5_0_ from film film0_
2020-12-22 00:17:36.573 DEBUG 92647 --- [http-nio-8080-exec-10] org.hibernate.SQL                        : select film0_.id as id1_0_, film0_.description as descript2_0_, film0_.length as length3_0_, film0_.release_year as release_4_0_, film0_.title as title5_0_ from film film0_
2020-12-22 00:18:09.087 DEBUG 92647 --- [http-nio-8080-exec-2] org.hibernate.SQL                        : select film0_.id as id1_0_, film0_.description as descript2_0_, film0_.length as length3_0_, film0_.release_year as release_4_0_, film0_.title as title5_0_ from film film0_
2020-12-22 00:21:28.972 DEBUG 92647 --- [http-nio-8080-exec-3] org.hibernate.SQL                        : select film0_.id as id1_0_, film0_.description as descript2_0_, film0_.length as length3_0_, film0_.release_year as release_4_0_, film0_.title as title5_0_ from film film0_
2020-12-22 00:22:09.149 DEBUG 92647 --- [http-nio-8080-exec-4] org.hibernate.SQL                        : select film0_.id as id1_0_, film0_.description as descript2_0_, film0_.length as length3_0_, film0_.release_year as release_4_0_, film0_.title as title5_0_ from film film0_
2020-12-22 00:22:09.477 DEBUG 92647 --- [http-nio-8080-exec-5] org.hibernate.SQL                        : select film0_.id as id1_0_, film0_.description as descript2_0_, film0_.length as length3_0_, film0_.release_year as release_4_0_, film0_.title as title5_0_ from film film0_
2020-12-22 00:22:13.675 DEBUG 92647 --- [http-nio-8080-exec-6] org.hibernate.SQL                        : select film0_.id as id1_0_, film0_.description as descript2_0_, film0_.length as length3_0_, film0_.release_year as release_4_0_, film0_.title as title5_0_ from film film0_
2020-12-22 00:22:18.303 DEBUG 92647 --- [http-nio-8080-exec-7] org.hibernate.SQL                        : select film0_.id as id1_0_, film0_.description as descript2_0_, film0_.length as length3_0_, film0_.release_year as release_4_0_, film0_.title as title5_0_ from film film0_
2020-12-22 00:22:18.828 DEBUG 92647 --- [http-nio-8080-exec-8] org.hibernate.SQL                        : select film0_.id as id1_0_, film0_.description as descript2_0_, film0_.length as length3_0_, film0_.release_year as release_4_0_, film0_.title as title5_0_ from film film0_
2020-12-22 00:22:19.039 DEBUG 92647 --- [http-nio-8080-exec-9] org.hibernate.SQL                        : select film0_.id as id1_0_, film0_.description as descript2_0_, film0_.length as length3_0_, film0_.release_year as release_4_0_, film0_.title as title5_0_ from film film0_
2020-12-22 00:22:19.235 DEBUG 92647 --- [http-nio-8080-exec-10] org.hibernate.SQL                        : select film0_.id as id1_0_, film0_.description as descript2_0_, film0_.length as length3_0_, film0_.release_year as release_4_0_, film0_.title as title5_0_ from film film0_
2020-12-22 00:22:19.432 DEBUG 92647 --- [http-nio-8080-exec-1] org.hibernate.SQL                        : select film0_.id as id1_0_, film0_.description as descript2_0_, film0_.length as length3_0_, film0_.release_year as release_4_0_, film0_.title as title5_0_ from film film0_
2020-12-22 00:22:19.642 DEBUG 92647 --- [http-nio-8080-exec-2] org.hibernate.SQL                        : select film0_.id as id1_0_, film0_.description as descript2_0_, film0_.length as length3_0_, film0_.release_year as release_4_0_, film0_.title as title5_0_ from film film0_
2020-12-22 00:23:21.709 DEBUG 92647 --- [http-nio-8080-exec-3] org.hibernate.SQL                        : select film0_.id as id1_0_, film0_.description as descript2_0_, film0_.length as length3_0_, film0_.release_year as release_4_0_, film0_.title as title5_0_ from film film0_
2020-12-22 00:23:37.631 DEBUG 92647 --- [http-nio-8080-exec-4] org.hibernate.SQL                        : select film0_.id as id1_0_, film0_.description as descript2_0_, film0_.length as length3_0_, film0_.release_year as release_4_0_, film0_.title as title5_0_ from film film0_
2020-12-22 00:24:17.094 DEBUG 92647 --- [http-nio-8080-exec-5] org.hibernate.SQL                        : select film0_.id as id1_0_, film0_.description as descript2_0_, film0_.length as length3_0_, film0_.release_year as release_4_0_, film0_.title as title5_0_ from film film0_
